Year,"Total GHG emissions including LUCF (CAIT), tonns e_co2 "
1990,5669590000
1991,5627950000
1992,5709170000
1993,5819340000
1994,5906320000
1995,5970680000
1996,6069300000
1997,6302580000
1998,6345670000
1999,6365600000
2000,6495120000
2001,6439610000
2002,6321650000
2003,6353160000
2004,6500270000
2005,6477600000
2006,6388860000
2007,6601130000
2008,6267350000
2009,5865860000
2010,6111810000
2011,6235850000
2012,5936090000
2013,6056310000
2014,6097750000
2015,5966460000
2016,5833490000
